         X          Y          Z      Theta        Phi      Times     State 
      0.00       0.00       0.00      90.00     103.67       4000          0
      0.00       0.00       0.00      90.00     103.67       9000          1
      0.00       6.49       1.58      90.00     104.42      14852          1
      0.00      12.28       3.16      90.00     107.12      13337          1
      0.00      16.74       4.74      90.00     113.97      10512          1
      0.00      19.39       6.32      90.00     134.72       6845          1
      0.00      19.93       7.89      90.00     198.76       3711          1
      0.00      18.32       9.47      90.00     238.81       5021          1
      0.00      14.71      11.05      90.00     250.25       8738          1
      0.00       9.52      12.63      90.00     254.55      12067          1
      0.00       3.29      14.21      90.00     256.15      14276          1
      0.00      -3.29      15.79      90.00     256.15      15045          1
      0.00      -9.52      17.37      90.00     254.55      14276          1
      0.00     -14.71      18.95      90.00     250.25      12067          1
      0.00     -18.32      20.53      90.00     238.81       8738          1
      0.00     -19.93      22.11      90.00     198.76       5021          1
      0.00     -19.39      23.68      90.00     134.72       3711          1
      0.00     -16.74      25.26      90.00     113.97       6845          1
      0.00     -12.28      26.84      90.00     107.12      10512          1
      0.00      -6.49      28.42      90.00     104.42      13337          1
      0.00       0.00      30.00      90.00     103.67      14852          0
